phase,module,file_path,legacy_field,current_usage,target_usage,change_type,risk,dependencies,tests,rollback,status,notes
"2","D Formulare und Validierung","src/components/admin/players/forms/AdminPlayersForm.js","players.team_id","line 59: form derives current team and dependent options from form.team_id","derive current assignment from assignment state keyed by team_season or season relation","FORM","CRITICAL","phase 2 player form redesign; phase 10 image flow coordination","player editor updates dependent fields without raw team_id state","roll back to legacy form state until assignment UX is stable","PLANNED","This file is the player form orchestrator and should switch together with the helper and service."
"9","G Suche und Filter","src/components/admin/topbar/adminSearch.service.js","players.team_id","line 23: admin search selects player team_id although the value is not currently used","drop raw team_id from search select or derive searchable team data from seasonal DTO","SEARCH","LOW","phase 1 read-model; phase 9 search cleanup","admin search still returns players correctly after select contract cleanup","restore legacy select list if downstream search rendering still expects team_id","PLANNED","This is low risk because the field is selected but not actively used today."
"5","E Oeffentliche Website","src/app/(website)/fussball/[slug]/page.js","players.team_id","line 221: public team page falls back to players.eq(team_id, team.id) when seasonal relations are missing","read only from player_team_seasons joined to the active team_season for the page team","PUBLIC_UI","CRITICAL","phase 1 read-model; phase 5 public page switch; current season resolver","public team page shows the same player roster without legacy fallback","restore legacy fallback query immediately if public roster becomes empty","PLANNED","This is one of the highest-risk public dependencies because it protects incomplete seasonal data today."
"8","H Delete- und Archivierungs-Guards","src/components/admin/teams/services/teamDelete.service.js","players.team_id","line 95: team delete/archive guard counts dependent players via players.team_id","count active and historical blocking assignments via player_team_seasons rules","DELETE_GUARD","CRITICAL","phase 2 player write-model; phase 8 archive policy; history retention rule","team archive/delete blocks only when active seasonal dependencies still exist","re-enable legacy guard if seasonal dependency count is uncertain","REQUIRES_DECISION","Active versus historical player assignments must be defined before guard replacement."
"1","C Scope- und Permission-Pfade","src/components/admin/persons/personTeamRepository.js","players.team_id","line 122: repository backfills missing player team data from players.team_id","centralize active player season resolution and stop rehydrating team info from legacy master rows","SCOPE","CRITICAL","phase 1 shared read-model foundation; current season resolver","shared repository returns player team context without legacy enrichment","restore temporary legacy enrichment behind repository guard if downstream DTOs are incomplete","READY_FOR_IMPLEMENTATION","This is the best anchor for B13.7 because it reduces later blast radius across admin and public readers."
"10","E Oeffentliche Website","src/components/website/player-profile/PlayerProfileImageCard.js","players.photo_url","line 16: public player profile renders image from player.photo_url","render only from player.image_url supplied by normalized player DTO","PUBLIC_UI","CRITICAL","phase 1 player DTO normalization; phase 10 image switch","public player profile keeps image output after photo_url read removal","temporarily restore photo_url fallback if image_url coverage is incomplete","PLANNED","Public image rendering should switch only after the DTO guarantees image_url presence or safe placeholder behavior."
"10","E Oeffentliche Website","src/components/website/team/TeamPlayerCard.js","players.photo_url","line 8: team player cards still use photo_url as image source","use player.image_url from the shared player DTO","PUBLIC_UI","CRITICAL","phase 1 player DTO normalization; phase 10 image switch","public team cards render images correctly on desktop and mobile","restore photo_url fallback if card images disappear after deployment","PLANNED","This public card should move with the same DTO as the player profile image card."
"10","I Generische Helper und Fallbacks","src/components/admin/utils/entity.js","players.photo_url","line 19: admin image helper falls back to photo_url","emit image_url-first card metadata and remove generic photo_url fallback","HELPER","HIGH","phase 1 DTO normalization; phase 9 helper cleanup; phase 10 image switch","admin cards keep stable image thumbnails after helper switch","restore photo_url helper fallback if some consumers still receive legacy-only DTOs","PLANNED","The helper should be one of the final photo_url readers removed after consumers are switched."
"10","J Bild-Upload und Medienfluss","src/components/admin/hooks/useImageUpload.js","players.photo_url","line 15: upload hook forwards photo_url in action context","pass only image_url-oriented media context and normalized existing asset references","IMAGE_FLOW","HIGH","phase 2 player form redesign; phase 10 image switch; storage path stability","player image upload, replace and delete flows keep working without photo_url","restore legacy upload context if replace/delete cannot match previous images","PLANNED","Upload flow must stay idempotent while the stored field name changes."
"10","B Lesepfade","src/app/admin/players/page.js","players.photo_url","line 37: admin player list selects photo_url directly from players","select image_url only and consume normalized image field in list DTO","READ_PATH","CRITICAL","phase 1 player DTO normalization; phase 4 admin list consumers; phase 10 image switch","admin player list and cards keep thumbnails after the read switch","restore photo_url select if image thumbnails disappear in admin","PLANNED","This read path should switch after the shared image field contract exists."
"10","J Bild-Upload und Medienfluss","src/components/admin/players/forms/playerForm.helpers.js","players.photo_url","line 13: player form initial state and submit payload still use photo_url","form state uses image_url only, with temporary read fallback handled upstream","IMAGE_FLOW","CRITICAL","phase 2 player form redesign; phase 10 image switch","player form preview and save operate on image_url without losing current images","restore legacy photo_url form field if save payloads reject image updates","PLANNED","Keep the fallback in the read-model, not in the form state, to avoid mixed write contracts."
"10","A Schreibpfade","src/components/admin/players/services/players.service.js","players.photo_url","line 43: service still uses photo_url in repository config, upload replace and final payload","persist and replace player images through image_url only","WRITE_PATH","CRITICAL","phase 2 player write-model; phase 10 image switch; storage consistency","player media save and replace flow writes only image_url and preserves file lifecycle","re-enable dual write to photo_url temporarily if downstream readers still require it","PLANNED","This is the player image write cutover and should happen only after admin/public readers are ready for dual read."
"10","J Bild-Upload und Medienfluss","src/components/admin/players/forms/AdminPlayersForm.js","players.photo_url","line 83: media tab binds preview, upload and state to form.photo_url","bind preview and upload state to image_url only","IMAGE_FLOW","CRITICAL","phase 2 player form redesign; phase 10 image switch","player media tab previews, uploads and removals work end to end","restore legacy form media binding if preview or upload breaks","PLANNED","The orchestration must stay aligned with the hook and helper changes."
"10","F Admin-Listen und Karten","src/components/admin/players/components/PlayerCard.js","players.photo_url","line 34: admin player cards prioritize photo_url before image_url","render admin player cards from image_url-first DTO data","ADMIN_UI","CRITICAL","phase 1 player DTO normalization; phase 4 admin card consumers; phase 10 image switch","admin player card images remain intact in list and detail contexts","temporarily restore card fallback if some DTOs still arrive without image_url","PLANNED","Card rendering should be the last admin image consumer to retain a direct legacy fallback."
"4","F Admin-Listen und Karten","src/components/admin/coaches/utils/coachStats.js","coaches.team_id","line 38: coach stats and overview mapping use coach.team_id","derive team grouping from active coach_team_seasons assignments","ADMIN_UI","HIGH","phase 1 coach read-model; phase 4 stats/list switch","coach counts and team grouping remain correct for single and multiple assignments","restore legacy grouping if multi-team aggregation is wrong","PLANNED","Stats logic needs an array-aware DTO instead of a single legacy team_id."
"3","A Schreibpfade","src/components/admin/coaches/services/coaches.service.js","coaches.team_id","line 39: coach save path still writes team_id into coaches","persist assignments in coach_team_seasons and keep coaches as master data only","WRITE_PATH","CRITICAL","phase 1 coach read-model; phase 3 coach write-model; transaction ordering","coach create/edit saves master data and one or more assignments consistently","re-enable legacy write if multi-assignment persistence is unstable","REQUIRES_DECISION","Implementation depends on the final rule for multiple active coach assignments and role history."
"9","I Generische Helper und Fallbacks","src/components/admin/utils/entity.js","coaches.team_id","line 13: admin helper sets coach team fallback from entity.team_id","consume normalized coach assignment DTO instead of raw team_id","HELPER","HIGH","phase 1 coach read-model; phase 9 helper cleanup","admin coach cards still expose the correct current team label","restore helper fallback if some consumers still send legacy-shaped coach DTOs","PLANNED","Coach cards must move to assignment-aware data before this fallback is removed."
"7","G Suche und Filter","src/app/admin/teams/new/page.js","coaches.team_id","line 75: available coaches are filtered with team_id.is.null and team_id.in(...)","build selectable coaches from active coach_team_seasons and teamless staff rules","SEARCH","CRITICAL","phase 1 coach read-model; phase 3 coach write-model; phase 7 selector redesign","team create shows only eligible coaches and respects multi-team rules","restore legacy coach availability filter if seasonal selector is incorrect","REQUIRES_DECISION","Needs a product rule for whether coaches may be assigned to multiple active teams."
"7","G Suche und Filter","src/app/admin/teams/edit/[id]/page.js","coaches.team_id","line 74: available coaches on team edit still use legacy team_id filter","resolve editable coach pool from coach_team_seasons for the active team_season","SEARCH","CRITICAL","phase 1 coach read-model; phase 3 coach write-model; phase 7 selector redesign","team edit preserves existing coaches and blocks unauthorized foreign assignments","restore legacy edit filter if seasonal availability logic regresses","REQUIRES_DECISION","The edit surface must distinguish active coach assignments from historical ones."
"3","D Formulare und Validierung","src/components/admin/coaches/forms/coachForm.helpers.js","coaches.team_id","line 29: coach form reads and writes team assignment through team_id","form payload writes one or more coach_team_seasons assignments plus role data","FORM","CRITICAL","phase 1 coach read-model; phase 3 coach write-model","coach create/edit supports no-team, single-team and multi-team cases","roll back to legacy payload shape if new assignment payload fails","REQUIRES_DECISION","The helper depends on the final UX for multiple teams and role-per-assignment editing."
"3","D Formulare und Validierung","src/components/admin/coaches/forms/fields/CoachRoleFields.js","coaches.team_id","line 23: coach UI binds team selection directly to form.team_id","replace with assignment rows keyed by team_season_id and role","FORM","CRITICAL","phase 3 coach form redesign; team-season option source","coach editor can add, edit and remove assignment rows safely","restore direct team select if the new assignment editor blocks staff editing","REQUIRES_DECISION","This file is the clearest place where the multi-team UI decision becomes concrete."
"4","B Lesepfade","src/app/admin/coaches/page.js","coaches.team_id","line 35: admin coach list selects and forwards team_id directly","emit team data from normalized coach assignment DTOs","READ_PATH","CRITICAL","phase 1 coach read-model; phase 4 admin list consumers","admin coach list still renders scoped team information after the switch","restore legacy select if list rows lose team context","PLANNED","The list should not infer a single team once coaches can carry multiple assignments."
"6","C Scope- und Permission-Pfade","src/app/admin/coaches/actions.js","coaches.team_id","line 46: server action checks allowed target teams from coachPayload.team_id","derive allowed scope targets from requested coach_team_seasons assignments","SCOPE","CRITICAL","phase 1 coach read-model; phase 3 coach write-model; admin scope resolver","scoped admins cannot add or move coaches outside permitted teams","restore legacy scope derivation if assignment-to-scope mapping is wrong","PLANNED","Permission strictness must stay equal or stronger after moving to multi-assignment writes."
"5","E Oeffentliche Website","src/app/(website)/fussball/[slug]/page.js","coaches.team_id","line 210: public team page falls back to coaches.eq(team_id, team.id) when seasonal relations are missing","read team staff only from coach_team_seasons joined to active team_season","PUBLIC_UI","CRITICAL","phase 1 coach read-model; phase 5 public page switch","public team page keeps correct coach roster without legacy fallback","restore legacy fallback query if public coach roster becomes incomplete","PLANNED","This public fallback must remain until phase 5 validation proves seasonal staff coverage."
"8","H Delete- und Archivierungs-Guards","src/components/admin/teams/services/teamDelete.service.js","coaches.team_id","line 94: team delete/archive guard counts dependent coaches via coaches.team_id","count blocking coach dependencies via coach_team_seasons with active/history rules","DELETE_GUARD","CRITICAL","phase 3 coach write-model; phase 8 archive policy","team archive/delete behaves correctly for active coaches and historical staff records","restore legacy guard if seasonal dependency counts are uncertain","REQUIRES_DECISION","A clear rule is needed for archived teams that still have historical coach assignments."
"1","C Scope- und Permission-Pfade","src/components/admin/persons/personTeamRepository.js","coaches.team_id","line 122: repository backfills missing coach team data from coaches.team_id","centralize active coach assignment resolution from coach_team_seasons only","SCOPE","CRITICAL","phase 1 shared read-model foundation; current season resolver","shared repository returns coach team context and assignment arrays without legacy enrichment","restore temporary legacy enrichment behind repository guard if downstream DTOs break","READY_FOR_IMPLEMENTATION","This is the coach-side twin of the preferred B13.7 foundation change."
"4","F Admin-Listen und Karten","src/components/admin/coaches/utils/coachStats.js","coaches.team_name","line 39: coach stats build display labels with fallback to coach.team_name","build labels from teams and team_seasons reached through coach assignments","ADMIN_UI","HIGH","phase 1 coach read-model; phase 4 stats/list switch","coach statistics keep readable team labels for single and multiple assignments","restore legacy label fallback if relational labels are missing","PLANNED","Display labels should be derived, not stored, once assignment DTOs are available."
"3","A Schreibpfade","src/components/admin/coaches/services/coaches.service.js","coaches.team_name","line 40: coach save path still writes redundant team_name snapshot","stop persisting team_name and derive labels relationally","WRITE_PATH","CRITICAL","phase 1 coach read-model; phase 3 coach write-model","coach save no longer writes redundant label snapshots and still renders labels correctly","temporarily restore snapshot write if downstream consumers still require coach.team_name","REQUIRES_DECISION","This write can only stop after all admin/public readers accept relational team labels."
"5","E Oeffentliche Website","src/components/website/department/department.helpers.js","coaches.team_name","line 3: public department staff helper shows team labels via coach.team_name fallback","derive team labels from normalized coach assignments and related team data","PUBLIC_UI","HIGH","phase 1 coach read-model; phase 5 public page switch","department staff section keeps readable team labels","restore legacy fallback if public labels disappear","PLANNED","Department rendering may need a compact formatter for multiple active team labels."
"9","I Generische Helper und Fallbacks","src/components/admin/utils/entity.js","coaches.team_name","line 14: admin helper returns coach team name from entity.team_name when relation is absent","remove snapshot fallback and consume relational team label in helper input","HELPER","HIGH","phase 1 coach read-model; phase 9 helper cleanup","admin helper still emits stable labels after DTO switch","restore helper fallback if some admin surfaces still depend on snapshot labels","PLANNED","This helper should switch after admin list and search DTOs have moved off coach.team_name."
"4","B Lesepfade","src/app/admin/coaches/page.js","coaches.team_name","line 35: admin coach list selects and forwards team_name in runtime DTO","derive display labels from coach assignments and teams/team_seasons","READ_PATH","CRITICAL","phase 1 coach read-model; phase 4 admin list consumers","admin coach list shows correct labels for multiple assignments","restore legacy select if list labels are wrong or empty","PLANNED","The list DTO needs an assignment-aware label strategy before the snapshot can disappear."
"5","E Oeffentliche Website","src/app/(website)/trainer/[slug]/page.js","coaches.team_name","line 31: public trainer profile still uses coach.team_name as display fallback","render trainer team labels from relational coach assignments","PUBLIC_UI","HIGH","phase 1 coach read-model; phase 5 public page switch","public trainer profile keeps team labels after snapshot removal","restore legacy fallback if the trainer profile loses team context","PLANNED","This page should share the same coach label formatter as department and team pages."
"9","G Suche und Filter","src/components/admin/topbar/adminSearch.service.js","coaches.team_name","line 24: admin search selects, searches and renders coach.team_name","compose searchable coach team labels from relational DTO data","SEARCH","HIGH","phase 1 coach read-model; phase 9 search cleanup","admin search still finds coaches by visible team labels","restore snapshot-based search field if relational labels are not searchable yet","PLANNED","Search behavior must stay familiar even if multiple assignment labels are introduced."
"10","E Oeffentliche Website","src/components/website/department/DepartmentPersonCard.js","coaches.photo_url","line 23: shared public person card still falls back to person.photo_url for coaches","render coach cards from image_url-first person DTOs","PUBLIC_UI","HIGH","phase 1 coach DTO normalization; phase 10 image switch","department trainer cards keep images after the switch","restore photo_url fallback if coach images disappear publicly","PLANNED","This public card is the remaining explicit coach.photo_url reader in the website layer."
"10","I Generische Helper und Fallbacks","src/components/admin/utils/entity.js","coaches.photo_url","line 19: admin image helper still reads photo_url as generic coach fallback","remove coach photo_url fallback and rely on image_url in helper input","HELPER","HIGH","phase 1 coach DTO normalization; phase 9 helper cleanup; phase 10 image switch","admin coach cards keep thumbnails after helper cleanup","restore helper fallback if some coach DTOs still lack image_url","PLANNED","B13.5 found no direct coach.photo_url write path, so this is a read-only fallback retirement."
